District,Annual_Income,Population,Total_Venues,Total_Competitors,Segment
Bağcılar,38367,744351,676,10,Medium
Esenyurt,36288,977489,631,13,Medium
Küçükçekmece,42804,805930,555,10,Medium
Pendik,36664,741895,691,21,Medium
Ümraniye,43641,726758,752,20,Medium
